Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,2023-03-12 16:24:07,2023-03-14 13:10:18,Steam Purchase,-9.89,0.00,EUR,COMPLETED,1108.87
CARD_PAYMENT,Current,2023-03-17 11:52:23,2023-03-20 16:53:10,Sncf Internet,-6.80,0.00,EUR,COMPLETED,1102.07
CARD_PAYMENT,Current,2023-03-17 11:51:02,2023-03-20 19:06:24,Lw-Sncf Connect,-146.50,0.00,EUR,COMPLETED,955.57
CARD_PAYMENT,Current,2023-03-18 07:16:03,2023-03-20 21:38:44,Paypal *spotify,-12.99,0.00,EUR,COMPLETED,942.58
CARD_PAYMENT,Current,2023-03-17 12:04:04,2023-03-21 01:58:10,Sncf Internet,-145.10,0.00,EUR,COMPLETED,797.48
CARD_PAYMENT,Current,2023-03-21 05:14:18,2023-03-21 09:54:44,netflix.com,-13.49,0.00,EUR,COMPLETED,783.99
CARD_PAYMENT,Current,2023-03-21 04:07:42,2023-03-22 03:41:18,Microsoft*subscription,-9.99,0.00,EUR,COMPLETED,774.00
EXCHANGE,Current,2023-03-23 13:47:30,2023-03-23 13:47:30,Exchanged to EUR,501.11,0.00,EUR,COMPLETED,1275.11
CARD_PAYMENT,Current,2023-03-23 18:44:56,2023-03-28 08:57:56,Steam Purchase,-16.49,0.00,EUR,COMPLETED,1258.62
EXCHANGE,Current,2023-03-28 19:58:11,2023-03-28 19:58:11,Exchanged to EUR,500.94,0.00,EUR,COMPLETED,1759.56
CARD_PAYMENT,Current,2023-03-28 19:29:31,2023-03-29 09:59:44,Destinia,-397.61,0.00,EUR,COMPLETED,1361.95
CARD_PAYMENT,Current,2023-03-28 19:57:00,2023-03-30 01:27:28,Trenitalia - Pt Wl,-277.00,0.00,EUR,COMPLETED,1084.95
CARD_PAYMENT,Current,2023-03-29 17:15:35,2023-03-31 01:23:15,www.tuscanyall.com,-45.00,0.00,EUR,COMPLETED,1039.95
CARD_PAYMENT,Current,2023-04-01 09:51:02,2023-04-02 11:09:19,Ratp,-10.00,0.00,EUR,COMPLETED,1029.95
CARD_PAYMENT,Current,2023-04-02 15:40:49,2023-04-03 09:02:43,Relay 323378sv,-6.20,0.00,EUR,COMPLETED,1023.75
CARD_PAYMENT,Current,2023-04-02 15:38:32,2023-04-03 09:10:14,Brioche Doree,-12.50,0.00,EUR,COMPLETED,1011.25
CARD_PAYMENT,Current,2023-04-07 19:17:35,2023-04-09 07:46:47,Kenny,-12.00,0.00,EUR,COMPLETED,999.25
CARD_PAYMENT,Current,2023-04-07 18:16:51,2023-04-09 07:46:47,Osteria Alla Staffa Risto,-36.50,0.00,EUR,COMPLETED,962.75
CARD_PAYMENT,Current,2023-04-08 18:42:41,2023-04-09 09:31:18,Da Alvise,-44.50,0.00,EUR,COMPLETED,918.25
CARD_PAYMENT,Current,2023-04-08 19:08:13,2023-04-09 09:32:55,Osteria Al Ponte,-5.00,0.00,EUR,COMPLETED,913.25
CARD_PAYMENT,Current,2023-04-09 13:05:21,2023-04-10 09:48:55,Ve.la. Spa,-7.50,0.00,EUR,COMPLETED,905.75
CARD_PAYMENT,Current,2023-04-09 18:48:36,2023-04-10 09:49:32,Osteria Alle Botteghe..,-38.00,0.00,EUR,COMPLETED,867.75
